Iteracion,Temperatura,Calidad,Fase
27200,0.000000,3832.510010,0
27300,0.000000,3304.244141,0
27400,0.000000,3497.634766,0
27500,0.000000,4036.160400,0
27600,0.000000,3832.510010,0
27700,0.000000,4036.160400,0
27800,0.000000,4078.820801,0
27900,0.000000,4078.820801,0
28000,0.000000,3497.634766,0
28100,0.000000,3885.430176,0
28200,0.000000,3832.510010,0
28300,0.000000,3689.586914,0
28400,0.000000,4036.160400,0
28500,0.000000,3701.285156,0
28600,0.000000,3885.430176,0
28700,0.000000,4036.160400,0
28800,0.000000,4078.820801,0
28900,0.000000,3620.047363,0
29000,0.000000,3304.244141,0
29100,0.000000,3304.244141,0
29200,0.000000,3885.430176,0
29300,0.000000,3832.510010,0
29400,0.000000,4036.160400,0
29500,0.000000,3701.285156,0
29600,0.000000,3885.430176,0
29700,0.000000,3701.285156,0
29800,0.000000,3620.047363,0
29900,0.000000,3620.047363,0
30000,0.000000,3497.634766,0
30100,0.000000,3999.084229,1
30200,154.000000,4027.841309,0
30300,141.680008,3454.455811,0
30400,130.345612,4017.088623,0
30500,119.917961,4009.281250,0
30600,110.324524,3620.047363,0
30700,101.498566,4078.820801,0
30800,93.378685,3497.634766,0
30900,85.908394,3832.510254,0
31000,79.035721,3620.047607,0
31100,72.712868,4036.160645,0
31200,66.895836,3885.430176,0
31300,61.544170,4078.820801,0
31400,61.544170,3885.430176,0
31500,56.620636,3497.634766,0
31600,52.090984,3832.510254,0
31700,47.923706,3689.586914,0
31800,44.089809,3701.285156,0
31900,40.562626,4036.160400,0
32000,37.317616,3832.510010,0
32100,34.332207,3701.285400,0
32200,31.585630,3497.635010,0
32300,29.058781,3620.047607,0
32400,26.734079,3620.047607,0
32500,24.595354,3885.430420,0
32600,22.627726,4212.931641,0
32700,20.817509,3620.047607,0
32800,19.152109,3885.430420,0
32900,19.152109,3885.430420,0
33000,17.619940,3689.587402,0
33100,16.210344,3304.244385,0
33200,14.913517,3701.285400,0
33300,13.720436,3304.244385,0
33400,12.622802,3620.047607,0
33500,11.612978,3885.430420,0
33600,10.683940,3701.285400,0
33700,9.829225,4078.821045,0
33800,9.042887,3304.244385,0
33900,8.319456,3885.430420,0
34000,7.653900,4036.160645,0
34100,7.041588,4036.160645,0
34200,6.478261,3885.430420,0
34300,5.960000,4078.821045,0
34400,5.960000,3620.047607,0
34500,5.483200,3620.047607,0
34600,5.044544,3701.285400,0
34700,4.640981,3304.244385,0
34800,4.269702,4078.820801,0
34900,3.928126,4036.160400,0
35000,3.613876,4036.160400,0
35100,3.324766,3832.510010,0
35200,3.058785,3832.510010,0
35300,2.814082,4036.160645,0
35400,2.588956,3304.244385,0
35500,2.381840,4017.088623,0
35600,2.191292,4078.821045,0
35700,2.015989,3701.285156,0
35800,1.854710,3701.285156,0
35900,1.854710,3701.285156,0
36000,1.706333,4036.160400,0
36100,1.569826,4036.160645,0
36200,1.444240,3497.635010,0
36300,1.328701,3620.047363,0
36400,1.222405,3885.430176,0
36500,1.124613,3689.586914,0
36600,1.034644,3620.047607,0
36700,0.951872,4212.932129,0
36800,0.875722,3885.430420,0
36900,0.805665,3689.587402,0
37000,0.741211,3701.285400,0
37100,0.681915,4078.820801,0
37200,0.627361,3620.047363,0
37300,0.577173,3304.244141,0
37400,0.530999,4036.160645,0
37500,0.530999,3578.737793,0
37600,0.488519,3304.244385,0
37700,0.449437,4036.160645,0
37800,0.413482,3497.635010,0
37900,0.380404,3701.285400,0
38000,0.349971,4078.820801,0
38100,0.321974,3620.047363,0
38200,0.296216,3885.430420,0
38300,0.272519,3304.244385,0
38400,0.250717,4212.932129,0
38500,0.230660,4036.160645,0
38600,0.212207,3885.430420,0
38700,0.195230,3620.047607,0
38800,0.179612,3620.047607,0
38900,0.165243,3497.635010,0
39000,0.165243,3497.635010,0
39100,0.152024,4078.821045,0
39200,0.139862,4036.160645,0
39300,0.128673,3497.634766,0
39400,0.118379,4036.160645,0
39500,0.108909,3701.285400,0
39600,0.100196,4078.821045,0
39700,0.092180,3885.430420,0
39800,0.084806,3497.635010,0
39900,0.078021,4078.821045,0
40000,0.071780,3701.285400,0
40100,0.066037,3832.510254,0
40200,0.060754,3885.430420,0
40300,0.055894,3689.587402,0
40400,0.051422,3701.285400,0
40500,0.051422,3620.047607,0
40600,0.047309,3885.430420,0
40700,0.043524,3885.430176,0
40800,0.040042,3701.285156,0
40900,0.036839,3832.510010,0
41000,0.033892,3620.047363,0
41100,0.031180,3689.586914,0
41200,0.028686,3832.510010,0
41300,0.026391,3885.430176,0
41400,0.024280,3701.285156,0
41500,0.022337,3885.430176,0
41600,0.020550,3885.430176,0
41700,0.018906,3620.047363,0
41800,0.017394,3832.510010,0
41900,0.016002,3497.634766,0
42000,0.014722,3832.510010,0
42100,0.014722,4078.820801,0
42200,0.013544,4036.160645,0
42300,0.012461,3885.430420,0
42400,0.011464,4078.821045,0
42500,0.010547,3620.047607,0
42600,0.009703,3832.510254,0
42700,0.008927,3832.510254,0
42800,0.008213,3701.285400,0
42900,0.007556,3689.587402,0
43000,0.006951,4017.088623,0
43100,0.006395,3620.047607,0
43200,0.005884,4282.471680,0
43300,0.005413,3620.047607,0
43400,0.004980,3885.430420,0
43500,0.004581,3885.430176,0
43600,0.004581,3689.586914,0
43700,0.004215,4036.160400,0
43800,0.003878,4078.820801,0
43900,0.003567,3497.635010,0
44000,0.003282,3620.047607,0
44100,0.003020,3885.430420,0
44200,0.002778,4078.821045,0
44300,0.002556,3832.510254,0
44400,0.002351,3701.285400,0
44500,0.002163,3304.244385,0
44600,0.001990,3620.047607,0
44700,0.001831,4036.160645,0
44800,0.001684,3885.430420,0
44900,0.001550,3304.244385,0
45000,0.001426,4036.160645,0
45100,0.001426,3620.047607,0
45200,0.001312,3701.285400,0
45300,0.001207,4282.471680,0
45400,0.001110,3304.244141,0
45500,0.001021,3832.510254,0
45600,0.000940,3620.047607,0
45700,0.000864,4078.821045,0
45800,0.000795,3620.047607,0
45900,0.000732,3689.587402,0
46000,0.000673,3885.430420,0
46100,0.000619,3497.634766,0
46200,0.000570,3620.047363,0
46300,0.000524,3885.430176,0
46400,0.000482,3620.047363,0
46500,0.000444,4078.820801,0
46600,0.000444,4036.160400,0
46700,0.000408,4078.820801,0
46800,0.000376,3497.634766,0
46900,0.000345,3885.430420,0
47000,0.000318,3885.430420,0
47100,0.000292,3701.285400,0
47200,0.000269,4036.160645,0
47300,0.000247,4078.820801,0
47400,0.000228,3620.047363,0
47500,0.000209,3689.586914,0
47600,0.000193,4036.160400,0
47700,0.000177,4036.160645,0
47800,0.000163,3885.430420,0
47900,0.000150,4078.821045,0
48000,0.000138,4036.160645,0
48100,0.000127,3701.285400,0
48200,0.000127,4078.821045,0
48300,0.000117,3304.244385,0
48400,0.000108,3620.047607,0
48500,0.000099,3885.430420,0
48600,0.000091,3701.285156,0
48700,0.000084,4212.931641,0
48800,0.000077,3701.285156,0
48900,0.000071,4078.820801,0
49000,0.000065,4078.820801,0
49100,0.000060,4036.160400,0
49200,0.000055,3885.430176,0
49300,0.000051,3620.047363,0
49400,0.000047,3832.510010,0
49500,0.000043,3701.285156,0
49600,0.000040,3885.430176,0
49700,0.000040,3885.430176,0
49800,0.000036,3304.244141,0
49900,0.000033,3620.047363,0
50000,0.000031,3885.430176,0
50100,0.000028,3304.244141,0
50200,0.000026,3620.047363,0
50300,0.000024,3497.634766,0
50400,0.000022,3497.634766,0
50500,0.000020,3885.430176,0
50600,0.000019,3620.047363,0
50700,0.000017,3689.586914,0
50800,0.000016,3620.047363,0
50900,0.000015,3497.634766,0
51000,0.000013,3832.510010,0
51100,0.000012,3832.510010,0
51200,0.000012,3620.047363,0
51300,0.000011,3701.285156,0
51400,0.000010,4078.820801,0
51500,0.000010,4017.088379,0
51600,0.000009,4036.160400,0
51700,0.000008,3497.634766,0
51800,0.000007,3885.430176,0
51900,0.000007,3885.430176,0
52000,0.000006,3620.047363,0
52100,0.000006,3689.586914,0
52200,0.000005,3701.285156,0
52300,0.000005,3885.430176,0
52400,0.000005,4036.160400,0
52500,0.000004,3304.244141,0
52600,0.000004,3885.430176,0
52700,0.000004,3885.430176,0
52800,0.000004,3620.047363,0
52900,0.000003,4036.160400,0
53000,0.000003,3497.634766,0
53100,0.000003,3620.047363,0
53200,0.000003,3620.047363,0
53300,0.000002,4078.820801,0
53400,0.000002,3832.510010,0
53500,0.000002,3701.285156,0
53600,0.000002,3620.047363,0
53700,0.000002,3832.510010,0
53800,0.000002,3885.430176,0
53900,0.000001,3497.634766,0
54000,0.000001,3304.244141,0
54100,0.000001,3701.285156,0
54200,0.000001,4078.820801,0
54300,0.000001,3620.047363,0
54400,0.000001,3620.047363,0
54500,0.000001,3832.510010,0
54600,0.000001,3497.634766,0
54700,0.000001,3832.510010,0
54800,0.000001,3304.244141,0
54900,0.000001,3689.586914,0
55000,0.000001,4036.160400,0
55100,0.000001,3304.244141,0
55200,0.000001,3701.285156,0
55300,0.000000,3304.244141,0
55400,0.000000,4078.820801,0
55500,0.000000,4078.820801,0
55600,0.000000,3885.430176,0
55700,0.000000,3620.047363,0
55800,0.000000,4078.820801,0
55900,0.000000,3497.634766,0
56000,0.000000,3701.285156,0
56100,0.000000,3620.047363,0
56200,0.000000,3620.047363,0
56300,0.000000,4036.160400,0
56400,0.000000,3304.244141,0
56500,0.000000,3620.047363,0
56600,0.000000,3304.244141,0
56700,0.000000,3304.244141,0
56800,0.000000,3701.285156,0
56900,0.000000,3497.634766,0
57000,0.000000,3497.634766,0
57100,0.000000,3885.430176,0
57200,0.000000,3304.244141,0
57300,0.000000,3701.285156,0
57400,0.000000,3885.430176,0
57500,0.000000,3701.285156,0
57600,0.000000,3620.047363,0
57700,0.000000,3304.244141,0
57800,0.000000,3701.285156,0
57900,0.000000,4036.160400,0
58000,0.000000,3701.285156,0
58100,0.000000,3620.047363,0
58200,0.000000,4078.820801,0
58300,0.000000,4078.820801,0
58400,0.000000,3701.285156,0
58500,0.000000,3832.510010,0
58600,0.000000,3701.285156,0
58700,0.000000,3620.047607,0
58800,0.000000,3689.586914,0
58900,0.000000,3885.430176,0
59000,0.000000,3832.510010,0
59100,0.000000,3701.285156,0
59200,0.000000,4036.160400,0
59300,0.000000,3620.047363,0
59400,0.000000,4282.471680,0
59500,0.000000,3304.244141,0
59600,0.000000,3885.430176,0
59700,0.000000,3832.510010,0
59800,0.000000,4078.820801,0
59900,0.000000,3689.586914,0
60000,0.000000,3885.430176,0
60100,0.000000,3885.430176,0
60200,0.000000,4010.092041,1
60300,154.000000,4435.000977,0
60400,141.680008,4279.503418,0
60500,130.345612,4279.503418,0
60600,119.917961,4279.503418,0
60700,110.324524,3716.870361,0
60800,101.498566,3716.870117,0
60900,93.378685,3716.870361,0
61000,85.908394,3716.870117,0
61100,79.035721,3716.870117,0
61200,72.712868,3716.870117,0
61300,66.895836,3716.870361,0
61400,61.544170,3716.870361,0
61500,61.544170,3716.870117,0
61600,56.620636,3716.870117,0
61700,52.090984,3401.066895,0
61800,47.923706,3716.870361,0
61900,44.089809,3716.870117,0
62000,40.562626,3716.870117,0
62100,37.317616,3716.870361,0
62200,34.332207,3716.870361,0
62300,31.585630,3716.870361,0
62400,29.058781,3716.870117,0
62500,26.734079,3716.870117,0
62600,24.595354,3716.870361,0
62700,22.627726,3716.870117,0
62800,20.817509,3716.870117,0
62900,19.152109,3716.870361,0
63000,19.152109,3716.870117,0
63100,17.619940,3716.870117,0
63200,16.210344,3716.870361,0
63300,14.913517,3716.870117,0
63400,13.720436,3716.870361,0
63500,12.622802,3716.870117,0
63600,11.612978,3716.870361,0
63700,10.683940,3716.870117,0
63800,9.829225,3716.870117,0
63900,9.042887,3716.870361,0
64000,8.319456,3716.870361,0
64100,7.653900,3716.870361,0
64200,7.041588,3716.870361,0
64300,6.478261,3716.870361,0
64400,5.960000,3716.870361,0
64500,5.960000,3716.870361,0
64600,5.483200,3716.870117,0
64700,5.044544,3716.870117,0
64800,4.640981,3716.870117,0
64900,4.269702,3716.870361,0
65000,3.928126,3716.870361,0
65100,3.613876,3716.870117,0
65200,3.324766,3716.870117,0
65300,3.058785,3716.870117,0
65400,2.814082,3716.870361,0
65500,2.588956,3716.870361,0
65600,2.381840,3716.870361,0
65700,2.191292,3716.870361,0
65800,2.015989,3716.870117,0
65900,1.854710,3716.870361,0
66000,1.706333,3716.870117,0
66100,1.706333,3716.870361,0
66200,1.569826,3716.870361,0
66300,1.444240,3716.870117,0
66400,1.328701,3716.870117,0
66500,1.222405,3716.870117,0
66600,1.124613,3716.870117,0
66700,1.034644,3716.870117,0
66800,0.951872,3716.870117,0
66900,0.875722,3716.870361,0
67000,0.805665,3716.870117,0
67100,0.741211,3716.870117,0
67200,0.681915,3716.870361,0
67300,0.627361,3716.870117,0
67400,0.577173,3716.870117,0
67500,0.530999,3716.870361,0
67600,0.530999,3716.870361,0
67700,0.488519,3716.870361,0
67800,0.449437,3716.870117,0
67900,0.413482,3716.870361,0
68000,0.380404,3716.870117,0
68100,0.349971,3716.870117,0
68200,0.321974,3716.870117,0
68300,0.296216,3716.870361,0
68400,0.272519,3716.870117,0
68500,0.250717,3716.870361,0
68600,0.230660,3716.870361,0
68700,0.212207,3716.870361,0
68800,0.195230,3716.870361,0
68900,0.179612,3716.870361,0
69000,0.165243,3716.870117,0
69100,0.165243,3716.870361,0
69200,0.152024,3716.870361,0
69300,0.139862,3716.870117,0
69400,0.128673,3716.870117,0
69500,0.118379,3716.870117,0
69600,0.108909,3716.870361,0
69700,0.100196,3716.870117,0
69800,0.092180,3716.870117,0
69900,0.084806,3716.870117,0
70000,0.078021,3716.870361,0
70100,0.071780,3716.870361,0
70200,0.066037,3716.870117,0
70300,0.060754,3716.870117,0
70400,0.055894,3716.870117,0
70500,0.051422,3716.870117,0
70600,0.047309,3716.870361,0
70700,0.047309,3716.870361,0
70800,0.043524,3716.870117,0
70900,0.040042,3716.870361,0
71000,0.036839,3716.870117,0
71100,0.033892,3716.870117,0
71200,0.031180,3716.870361,0
71300,0.028686,3716.870361,0
71400,0.026391,3716.870361,0
71500,0.024280,3716.870117,0
71600,0.022337,3716.870117,0
71700,0.020550,3716.870117,0
71800,0.018906,3716.870361,0
71900,0.017394,3716.870361,0
72000,0.016002,3716.870117,0
72100,0.014722,3716.870117,0
72200,0.014722,3716.870361,0
72300,0.013544,3716.870117,0
72400,0.012461,3716.870117,0
72500,0.011464,3716.870361,0
72600,0.010547,3716.870117,0
72700,0.009703,3716.870361,0
72800,0.008927,3716.870117,0
72900,0.008213,3716.870117,0
73000,0.007556,3716.870361,0
73100,0.006951,3716.870117,0
73200,0.006395,3716.870361,0
73300,0.005884,3716.870117,0
73400,0.005413,3716.870361,0
73500,0.004980,3716.870117,0
73600,0.004581,3716.870117,0
73700,0.004581,3716.870361,0
73800,0.004215,3716.870117,0
73900,0.003878,3716.870117,0
74000,0.003567,3716.870117,0
74100,0.003282,3716.870117,0
74200,0.003020,3716.870361,0
74300,0.002778,3716.870117,0
74400,0.002556,3716.870361,0
74500,0.002351,3716.870361,0
74600,0.002163,3716.870117,0
74700,0.001990,3716.870117,0
74800,0.001831,3716.870361,0
74900,0.001684,3716.870361,0
75000,0.001550,3716.870361,0
75100,0.001426,3716.870117,0
75200,0.001426,3716.870117,0
75300,0.001312,3716.870361,0
75400,0.001207,3716.870361,0
75500,0.001110,3716.870361,0
75600,0.001021,3716.870361,0
75700,0.000940,3716.870361,0
75800,0.000864,3716.870117,0
75900,0.000795,3716.870117,0
76000,0.000732,3716.870117,0
76100,0.000673,3716.870361,0
76200,0.000619,3716.870117,0
76300,0.000570,3716.870361,0
76400,0.000524,3716.870361,0
76500,0.000482,3716.870361,0
76600,0.000444,3716.870361,0
